,market_beta,inflation,rates,usd_strength,volatility,momentum,quality,value,energy_oil,growth,semiconductors,xl_consumer_defensive,xl_financials,xl_healthcare,xl_industrials,xl_real_estate,xl_utilities,china_exposure
market_beta,1.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,0.0000
inflation,-0.0000,1.0000,-0.4752,0.2179,-0.1304,-0.0166,-0.1288,0.0926,0.2629,0.0112,-0.0112,-0.1015,0.0316,-0.0880,-0.0086,0.0072,-0.0410,-0.0112
rates,0.0000,-0.4752,1.0000,-0.3965,0.0663,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
usd_strength,0.0000,0.2179,-0.3965,1.0000,-0.0291,-0.0114,0.0169,-0.0583,-0.0173,0.0121,-0.0578,0.0274,0.0381,0.0582,-0.0186,0.0216,0.0347,-0.1841
volatility,0.0000,-0.1304,0.0663,-0.0291,1.0000,-0.0927,0.1251,0.0354,-0.0996,-0.0361,-0.1189,0.1532,-0.0605,0.0911,-0.0266,0.0744,0.1620,-0.0591
momentum,-0.0000,-0.0166,-0.0000,-0.0114,-0.0927,1.0000,-0.0773,-0.3474,0.0723,0.2772,0.2040,-0.1320,-0.0848,0.0293,-0.0009,-0.1849,-0.1125,-0.0043
quality,-0.0000,-0.1288,0.0000,0.0169,0.1251,-0.0773,1.0000,-0.0626,-0.0725,-0.0008,0.1378,-0.0000,-0.0833,0.0000,0.2144,-0.0143,-0.0778,-0.0075
value,-0.0000,0.0926,-0.0000,-0.0583,0.0354,-0.3474,-0.0626,1.0000,0.0000,0.0000,-0.4151,0.3430,0.0000,0.2753,0.0000,0.4697,0.4650,-0.0085
energy_oil,-0.0000,0.2629,-0.0000,-0.0173,-0.0996,0.0723,-0.0725,0.0000,1.0000,-0.1122,0.0777,-0.3042,-0.0275,-0.2625,-0.0350,-0.2566,-0.2721,0.0927
growth,-0.0000,0.0112,-0.0000,0.0121,-0.0361,0.2772,-0.0008,0.0000,-0.1122,1.0000,0.0000,-0.2647,-0.0648,-0.0982,-0.0444,0.1015,-0.0936,-0.0000
semiconductors,-0.0000,-0.0112,0.0000,-0.0578,-0.1189,0.2040,0.1378,-0.4151,0.0777,0.0000,1.0000,-0.3760,-0.0682,-0.3495,0.0816,-0.3701,-0.4103,0.1651
xl_consumer_defensive,-0.0000,-0.1015,-0.0000,0.0274,0.1532,-0.1320,-0.0000,0.3430,-0.3042,-0.2647,-0.3760,1.0000,-0.2830,0.4282,-0.1667,0.3185,0.5473,-0.0737
xl_financials,-0.0000,0.0316,0.0000,0.0381,-0.0605,-0.0848,-0.0833,0.0000,-0.0275,-0.0648,-0.0682,-0.2830,1.0000,-0.3091,0.0067,-0.2007,-0.3068,-0.0454
xl_healthcare,-0.0000,-0.0880,0.0000,0.0582,0.0911,0.0293,0.0000,0.2753,-0.2625,-0.0982,-0.3495,0.4282,-0.3091,1.0000,-0.2533,0.2488,0.3662,-0.0580
xl_industrials,-0.0000,-0.0086,0.0000,-0.0186,-0.0266,-0.0009,0.2144,0.0000,-0.0350,-0.0444,0.0816,-0.1667,0.0067,-0.2533,1.0000,-0.0952,-0.1487,-0.0929
xl_real_estate,-0.0000,0.0072,0.0000,0.0216,0.0744,-0.1849,-0.0143,0.4697,-0.2566,0.1015,-0.3701,0.3185,-0.2007,0.2488,-0.0952,1.0000,0.5578,-0.0626
xl_utilities,-0.0000,-0.0410,0.0000,0.0347,0.1620,-0.1125,-0.0778,0.4650,-0.2721,-0.0936,-0.4103,0.5473,-0.3068,0.3662,-0.1487,0.5578,1.0000,-0.0928
china_exposure,0.0000,-0.0112,0.0000,-0.1841,-0.0591,-0.0043,-0.0075,-0.0085,0.0927,-0.0000,0.1651,-0.0737,-0.0454,-0.0580,-0.0929,-0.0626,-0.0928,1.0000
