symbol,sector,factor_id,mean_exposure,mean_r2,n_snapshots,expected_sign,actual_sign,status,severity
AAPL,Technology,china_exposure,-0.0244,0.6223,49,,0,—,
AAPL,Technology,energy_oil,0.0441,0.6223,49,,0,—,
AAPL,Technology,growth,0.2655,0.6223,49,1.0000,1,✓ match,
AAPL,Technology,inflation,-0.0369,0.6223,49,,0,—,
AAPL,Technology,market_beta,0.8121,0.6223,49,,1,—,
AAPL,Technology,momentum,-0.0370,0.6223,49,,0,—,
AAPL,Technology,quality,-0.0642,0.6223,49,,-1,—,
AAPL,Technology,rates,0.0589,0.6223,49,-1.0000,1,✗ MISMATCH,🔴
AAPL,Technology,semiconductors,-0.0866,0.6223,49,1.0000,-1,✗ MISMATCH,🔴
AAPL,Technology,usd_strength,-0.0465,0.6223,49,,0,—,
AAPL,Technology,value,-0.3637,0.6223,49,-1.0000,-1,✓ match,
AAPL,Technology,volatility,0.0031,0.6223,49,-1.0000,0,~ borderline,🟡
AMZN,Consumer Cyclical,china_exposure,0.0050,0.5849,49,,0,—,
AMZN,Consumer Cyclical,energy_oil,0.0704,0.5849,49,,1,—,
AMZN,Consumer Cyclical,growth,0.4543,0.5849,49,,1,—,
AMZN,Consumer Cyclical,inflation,-0.0370,0.5849,49,,0,—,
AMZN,Consumer Cyclical,market_beta,0.8736,0.5849,49,1.0000,1,✓ match,
AMZN,Consumer Cyclical,momentum,-0.0574,0.5849,49,,-1,—,
AMZN,Consumer Cyclical,quality,-0.0862,0.5849,49,,-1,—,
AMZN,Consumer Cyclical,rates,0.1145,0.5849,49,,1,—,
AMZN,Consumer Cyclical,semiconductors,-0.1804,0.5849,49,,-1,—,
AMZN,Consumer Cyclical,usd_strength,-0.0500,0.5849,49,,-1,—,
AMZN,Consumer Cyclical,value,-0.4635,0.5849,49,0.0000,-1,~ borderline,🟡
AMZN,Consumer Cyclical,volatility,-0.0026,0.5849,49,,0,—,
AVGO,Technology,china_exposure,-0.0325,0.7020,49,,0,—,
AVGO,Technology,energy_oil,0.0287,0.7020,49,,0,—,
AVGO,Technology,growth,0.2381,0.7020,49,1.0000,1,✓ match,
AVGO,Technology,inflation,-0.0140,0.7020,49,,0,—,
AVGO,Technology,market_beta,0.9174,0.7020,49,,1,—,
AVGO,Technology,momentum,0.2258,0.7020,49,,1,—,
AVGO,Technology,quality,0.0477,0.7020,49,,0,—,
AVGO,Technology,rates,0.0601,0.7020,49,-1.0000,1,✗ MISMATCH,🔴
AVGO,Technology,semiconductors,0.5579,0.7020,49,1.0000,1,✓ match,
AVGO,Technology,usd_strength,0.0213,0.7020,49,,0,—,
AVGO,Technology,value,-0.2823,0.7020,49,-1.0000,-1,✓ match,
AVGO,Technology,volatility,-0.0196,0.7020,49,-1.0000,0,~ borderline,🟡
GOOGL,Communication Services,china_exposure,0.0366,0.5755,49,,0,—,
GOOGL,Communication Services,energy_oil,0.0743,0.5755,49,,1,—,
GOOGL,Communication Services,growth,0.2727,0.5755,49,1.0000,1,✓ match,
GOOGL,Communication Services,inflation,-0.0278,0.5755,49,,0,—,
GOOGL,Communication Services,market_beta,0.8154,0.5755,49,,1,—,
GOOGL,Communication Services,momentum,-0.1241,0.5755,49,,-1,—,
GOOGL,Communication Services,quality,0.0297,0.5755,49,,0,—,
GOOGL,Communication Services,rates,0.0707,0.5755,49,-1.0000,1,✗ MISMATCH,🔴
GOOGL,Communication Services,semiconductors,-0.1091,0.5755,49,,-1,—,
GOOGL,Communication Services,usd_strength,-0.0154,0.5755,49,,0,—,
GOOGL,Communication Services,value,-0.3668,0.5755,49,,-1,—,
GOOGL,Communication Services,volatility,-0.0132,0.5755,49,,0,—,
JPM,Financial Services,china_exposure,0.0270,0.5164,49,,0,—,
JPM,Financial Services,energy_oil,-0.0448,0.5164,49,,0,—,
JPM,Financial Services,growth,-0.3172,0.5164,49,-1.0000,-1,✓ match,
JPM,Financial Services,inflation,0.0739,0.5164,49,,1,—,
JPM,Financial Services,market_beta,0.6324,0.5164,49,,1,—,
JPM,Financial Services,momentum,-0.0604,0.5164,49,,-1,—,
JPM,Financial Services,quality,-0.0854,0.5164,49,,-1,—,
JPM,Financial Services,rates,-0.1846,0.5164,49,1.0000,-1,✗ MISMATCH,🔴
JPM,Financial Services,semiconductors,0.0461,0.5164,49,,0,—,
JPM,Financial Services,usd_strength,-0.0457,0.5164,49,,0,—,
JPM,Financial Services,value,0.3470,0.5164,49,1.0000,1,✓ match,
JPM,Financial Services,volatility,-0.0288,0.5164,49,,0,—,
META,Communication Services,china_exposure,0.0552,0.4622,49,,1,—,
META,Communication Services,energy_oil,-0.0196,0.4622,49,,0,—,
META,Communication Services,growth,0.4351,0.4622,49,1.0000,1,✓ match,
META,Communication Services,inflation,-0.0295,0.4622,49,,0,—,
META,Communication Services,market_beta,0.9950,0.4622,49,,1,—,
META,Communication Services,momentum,-0.0761,0.4622,49,,-1,—,
META,Communication Services,quality,0.2320,0.4622,49,,1,—,
META,Communication Services,rates,0.0151,0.4622,49,-1.0000,0,~ borderline,🟡
META,Communication Services,semiconductors,-0.1085,0.4622,49,,-1,—,
META,Communication Services,usd_strength,0.0055,0.4622,49,,0,—,
META,Communication Services,value,-0.4725,0.4622,49,,-1,—,
META,Communication Services,volatility,-0.0016,0.4622,49,,0,—,
MSFT,Technology,china_exposure,-0.0315,0.6894,49,,0,—,
MSFT,Technology,energy_oil,0.0170,0.6894,49,,0,—,
MSFT,Technology,growth,0.3150,0.6894,49,1.0000,1,✓ match,
MSFT,Technology,inflation,-0.0386,0.6894,49,,0,—,
MSFT,Technology,market_beta,0.7756,0.6894,49,,1,—,
MSFT,Technology,momentum,-0.0050,0.6894,49,,0,—,
MSFT,Technology,quality,0.0007,0.6894,49,,0,—,
MSFT,Technology,rates,0.0593,0.6894,49,-1.0000,1,✗ MISMATCH,🔴
MSFT,Technology,semiconductors,-0.0946,0.6894,49,1.0000,-1,✗ MISMATCH,🔴
MSFT,Technology,usd_strength,-0.0089,0.6894,49,,0,—,
MSFT,Technology,value,-0.4039,0.6894,49,-1.0000,-1,✓ match,
MSFT,Technology,volatility,0.0128,0.6894,49,-1.0000,0,~ borderline,🟡
NVDA,Technology,china_exposure,-0.0639,0.7007,49,,-1,—,
NVDA,Technology,energy_oil,0.1172,0.7007,49,,1,—,
NVDA,Technology,growth,0.6578,0.7007,49,1.0000,1,✓ match,
NVDA,Technology,inflation,-0.0693,0.7007,49,,-1,—,
NVDA,Technology,market_beta,1.2312,0.7007,49,,1,—,
NVDA,Technology,momentum,0.2822,0.7007,49,,1,—,
NVDA,Technology,quality,0.1493,0.7007,49,,1,—,
NVDA,Technology,rates,0.1030,0.7007,49,-1.0000,1,✗ MISMATCH,🔴
NVDA,Technology,semiconductors,0.6581,0.7007,49,1.0000,1,✓ match,
NVDA,Technology,usd_strength,-0.0554,0.7007,49,,-1,—,
NVDA,Technology,value,-0.6975,0.7007,49,-1.0000,-1,✓ match,
NVDA,Technology,volatility,-0.0364,0.7007,49,-1.0000,0,~ borderline,🟡
TSLA,Consumer Cyclical,china_exposure,0.0860,0.3939,49,,1,—,
TSLA,Consumer Cyclical,energy_oil,0.0467,0.3939,49,,0,—,
TSLA,Consumer Cyclical,growth,0.5843,0.3939,49,,1,—,
TSLA,Consumer Cyclical,inflation,0.0050,0.3939,49,,0,—,
TSLA,Consumer Cyclical,market_beta,1.1185,0.3939,49,1.0000,1,✓ match,
TSLA,Consumer Cyclical,momentum,0.3633,0.3939,49,,1,—,
TSLA,Consumer Cyclical,quality,-0.3181,0.3939,49,,-1,—,
