symbol,n,mean,std,max_abs,skewness,kurtosis,n_outliers_3sigma,worst_date,worst_resid,skipped,sector
AAPL,1256,0.000557,0.011976,0.084767,0.430615,4.545246,19,2020-07-31,0.084767,False,Technology
AMZN,1256,0.000209,0.015288,0.114570,0.244207,9.371201,20,2022-02-04,0.114570,False,Consumer Cyclical
AVGO,1256,0.001207,0.016307,0.201014,1.805682,28.794813,15,2024-12-13,0.201014,False,Technology
GOOGL,1256,0.000387,0.013201,0.085912,0.034383,7.151494,22,2023-10-25,-0.085912,False,Communication Services
JPM,1256,0.000199,0.013868,0.113311,0.625841,11.151564,21,2020-03-13,0.113311,False,Financial Services
META,1256,0.000298,0.021379,0.272091,-2.225660,49.899234,13,2022-02-03,-0.272091,False,Communication Services
MSFT,1256,0.000396,0.010716,0.079607,0.170393,7.568953,17,2020-03-16,-0.079607,False,Technology
NVDA,1256,0.001841,0.019548,0.168773,0.879350,6.200902,17,2023-05-25,0.168773,False,Technology
TSLA,1256,0.001536,0.034927,0.193129,0.137605,3.928641,23,2020-09-08,-0.193129,False,Consumer Cyclical
XOM,1256,0.000232,0.011103,0.100405,0.287603,9.150771,14,2020-03-17,0.100405,False,Energy
