symbol,n_snapshots,r2_direct,r2_+statistical,r2_total,marginal_statistical,marginal_derived,derived_share
SPY,49,0.9078,0.9105,0.9100,0.0027,-0.0005,-0.0005
IWB,49,0.9039,0.9081,0.9088,0.0042,0.0006,0.0008
VTI,49,0.8980,0.9027,0.9048,0.0047,0.0022,0.0026
QQQ,49,0.7817,0.8794,0.9066,0.0976,0.0272,0.0307
DIA,49,0.7690,0.8059,0.8277,0.0370,0.0217,0.0282
IWM,49,0.6514,0.7100,0.7453,0.0586,0.0353,0.0511
BLK,49,0.5542,0.5777,0.6188,0.0235,0.0411,0.0712
MSFT,49,0.5505,0.6579,0.6794,0.1073,0.0216,0.0353
AAPL,49,0.5258,0.6025,0.6205,0.0767,0.0180,0.0351
AVGO,49,0.4983,0.5730,0.7158,0.0746,0.1428,0.2057
GOOGL,49,0.4818,0.5463,0.5897,0.0646,0.0434,0.0841
NVDA,49,0.4390,0.5993,0.7242,0.1603,0.1249,0.1771
AMZN,49,0.4264,0.5437,0.5908,0.1173,0.0471,0.0824
ADBE,49,0.4200,0.5321,0.5582,0.1122,0.0261,0.0521
HD,49,0.4133,0.4354,0.4960,0.0221,0.0606,0.1374
LIN,49,0.4089,0.4237,0.4570,0.0148,0.0334,0.0894
LSCC,49,0.4086,0.4598,0.6431,0.0511,0.1833,0.3081
GS,49,0.4074,0.4858,0.5634,0.0783,0.0777,0.1381
PLD,49,0.3872,0.4248,0.6839,0.0375,0.2592,0.3896
BAC,49,0.3813,0.5185,0.6239,0.1371,0.1054,0.1671
AMD,49,0.3782,0.4807,0.6374,0.1025,0.1568,0.2491
JPM,49,0.3691,0.4816,0.5883,0.1124,0.1068,0.1811
CRM,49,0.3607,0.4156,0.4451,0.0549,0.0295,0.0688
COF,49,0.3553,0.4483,0.5282,0.0930,0.0799,0.1594
META,49,0.3445,0.4340,0.4897,0.0895,0.0556,0.1147
COST,49,0.3436,0.3819,0.4896,0.0384,0.1076,0.2267
FCX,49,0.3336,0.3729,0.4770,0.0393,0.1041,0.2274
NKE,49,0.3215,0.3400,0.3810,0.0185,0.0410,0.1498
GE,49,0.3151,0.3908,0.4339,0.0757,0.0430,0.1082
CAT,49,0.3079,0.3977,0.4830,0.0898,0.0852,0.1849
AMT,49,0.3046,0.3470,0.6313,0.0425,0.2843,0.4617
DAL,49,0.3028,0.3700,0.4573,0.0672,0.0873,0.2028
BA,49,0.2905,0.3300,0.3947,0.0396,0.0647,0.1851
APD,49,0.2888,0.3206,0.3636,0.0318,0.0429,0.1497
MCD,49,0.2883,0.3171,0.4236,0.0288,0.1065,0.2742
ORCL,49,0.2865,0.3110,0.3357,0.0246,0.0246,0.0825
O,49,0.2817,0.3550,0.5927,0.0734,0.2377,0.4082
TSLA,49,0.2616,0.3711,0.4100,0.1095,0.0389,0.1037
KO,49,0.2580,0.3483,0.6017,0.0903,0.2534,0.4373
ESTC,49,0.2528,0.3507,0.4001,0.0978,0.0494,0.1600
NEE,49,0.2432,0.2778,0.6202,0.0346,0.3424,0.5634
TMUS,49,0.2221,0.2424,0.2968,0.0203,0.0544,0.2411
NFLX,49,0.2205,0.3047,0.3563,0.0842,0.0516,0.1509
CVX,49,0.2158,0.3455,0.7175,0.1297,0.3720,0.5350
SMCI,49,0.2144,0.2420,0.3103,0.0276,0.0683,0.2354
UNH,49,0.2014,0.2522,0.4250,0.0508,0.1729,0.4722
SO,49,0.1989,0.2952,0.7127,0.0963,0.4175,0.5936
SLB,49,0.1978,0.3224,0.6125,0.1246,0.2901,0.4938
PG,49,0.1932,0.2357,0.5908,0.0425,0.3550,0.6266
TTWO,49,0.1918,0.2580,0.2879,0.0662,0.0299,0.1099
COP,49,0.1857,0.3112,0.7317,0.1255,0.4205,0.5910
XOM,49,0.1854,0.3309,0.7526,0.1455,0.4217,0.5736
DUK,49,0.1741,0.2821,0.7348,0.1079,0.4528,0.6252
VLO,49,0.1734,0.2877,0.5515,0.1143,0.2638,0.4997
JNJ,49,0.1580,0.2448,0.4713,0.0868,0.2265,0.5014
WMT,49,0.1400,0.1559,0.3308,0.0159,0.1749,0.5578
PFE,49,0.1320,0.1675,0.3116,0.0356,0.1440,0.4939
DLTR,49,0.1319,0.1483,0.2006,0.0164,0.0523,0.2855
LLY,49,0.1273,0.1747,0.3347,0.0474,0.1600,0.5044
MRNA,49,0.1092,0.1623,0.2256,0.0531,0.0632,0.3113
