symbol,n_snapshots,r2_direct,r2_+statistical,r2_total,marginal_statistical,marginal_derived,derived_share
SPY,37,0.9308,0.9325,0.9319,0.0017,-0.0006,-0.0006
IWB,37,0.9268,0.9309,0.9313,0.0041,0.0004,0.0005
VTI,37,0.9205,0.9255,0.9284,0.0050,0.0029,0.0033
DIA,37,0.8277,0.8557,0.8745,0.0280,0.0188,0.0223
QQQ,37,0.8191,0.9037,0.9244,0.0846,0.0207,0.0226
IWM,37,0.7051,0.7505,0.8178,0.0455,0.0672,0.0864
MSFT,37,0.6339,0.7194,0.7365,0.0855,0.0170,0.0241
AAPL,37,0.6085,0.6748,0.6925,0.0663,0.0176,0.0272
FCX,37,0.6050,0.6252,0.6864,0.0202,0.0612,0.0899
BLK,37,0.6037,0.6180,0.6567,0.0143,0.0387,0.0622
AVGO,37,0.5618,0.6156,0.7483,0.0538,0.1327,0.1797
GOOGL,37,0.5606,0.6167,0.6592,0.0561,0.0425,0.0688
NVDA,37,0.5149,0.6380,0.7567,0.1230,0.1187,0.1586
LIN,37,0.5084,0.5228,0.5589,0.0144,0.0361,0.0701
ADBE,37,0.4922,0.6012,0.6316,0.1091,0.0303,0.0521
LSCC,37,0.4908,0.5460,0.7123,0.0552,0.1662,0.2392
BAC,37,0.4881,0.5854,0.7015,0.0974,0.1161,0.1680
GS,37,0.4795,0.5372,0.6287,0.0577,0.0915,0.1489
AMZN,37,0.4777,0.5871,0.6417,0.1094,0.0546,0.0867
JPM,37,0.4717,0.5663,0.6871,0.0946,0.1209,0.1797
XOM,37,0.4689,0.5574,0.6052,0.0885,0.0478,0.0808
COP,37,0.4595,0.5380,0.5940,0.0785,0.0559,0.0970
HD,37,0.4557,0.4681,0.5291,0.0123,0.0610,0.1293
CVX,37,0.4557,0.5380,0.5846,0.0823,0.0466,0.0840
COF,37,0.4507,0.5334,0.6155,0.0827,0.0821,0.1388
PLD,37,0.4391,0.4536,0.7135,0.0145,0.2599,0.3757
AMD,37,0.4352,0.5220,0.6662,0.0867,0.1443,0.2180
SLB,37,0.4261,0.5139,0.5613,0.0878,0.0474,0.0884
COST,37,0.4185,0.4452,0.5519,0.0267,0.1067,0.1947
CAT,37,0.4175,0.4885,0.5599,0.0711,0.0713,0.1336
CRM,37,0.4138,0.4728,0.5182,0.0590,0.0454,0.0912
NKE,37,0.3999,0.4170,0.4566,0.0171,0.0395,0.1036
META,37,0.3767,0.4546,0.5101,0.0778,0.0555,0.1101
BA,37,0.3767,0.4125,0.6204,0.0358,0.2080,0.3388
GE,37,0.3745,0.4421,0.4988,0.0676,0.0567,0.1189
APD,37,0.3702,0.3938,0.4489,0.0236,0.0551,0.1438
DAL,37,0.3656,0.4279,0.5297,0.0623,0.1019,0.1929
VLO,37,0.3619,0.4444,0.5033,0.0825,0.0589,0.1197
AMT,37,0.3580,0.3805,0.6646,0.0225,0.2841,0.4396
MCD,37,0.3514,0.3793,0.4835,0.0279,0.1042,0.2254
KO,37,0.3373,0.4252,0.6487,0.0879,0.2235,0.3497
NEE,37,0.3325,0.3438,0.6484,0.0114,0.3045,0.4795
O,37,0.3318,0.3833,0.6243,0.0514,0.2410,0.3953
ORCL,37,0.3314,0.3518,0.3955,0.0204,0.0437,0.1295
ESTC,37,0.3226,0.4419,0.5320,0.1193,0.0901,0.1672
TSLA,37,0.2990,0.4299,0.5011,0.1309,0.0712,0.1466
TMUS,37,0.2925,0.3125,0.3561,0.0199,0.0436,0.1294
UNH,37,0.2764,0.3290,0.5183,0.0526,0.1894,0.3866
NFLX,37,0.2677,0.3406,0.4001,0.0729,0.0596,0.1535
PG,37,0.2661,0.3172,0.6491,0.0511,0.3319,0.5216
SO,37,0.2636,0.3468,0.7338,0.0832,0.3870,0.5355
SMCI,37,0.2501,0.2622,0.3385,0.0120,0.0763,0.2393
DUK,37,0.2312,0.3204,0.7526,0.0892,0.4322,0.5867
TTWO,37,0.2255,0.2925,0.3380,0.0670,0.0455,0.1461
JNJ,37,0.2196,0.3007,0.5248,0.0811,0.2242,0.4388
WMT,37,0.1908,0.2067,0.3884,0.0158,0.1817,0.4852
DLTR,37,0.1694,0.1803,0.2356,0.0109,0.0553,0.2598
PFE,37,0.1685,0.2031,0.3752,0.0346,0.1721,0.4872
LLY,37,0.1660,0.2062,0.3691,0.0402,0.1629,0.4661
MRNA,37,0.1482,0.2047,0.4342,0.0565,0.2295,0.5576
