symbol,factor,n_obs,contemp_beta,contemp_se,contemp_t,lead_beta,lead_se,lead_t,lag_beta,lag_se,lag_t
AAPL,biotech,1255,-0.0120,0.0538,-0.2225,-0.0016,0.0538,-0.0295,-0.1311,0.0536,-2.4446
AAPL,china_a_shares,1255,0.0183,0.0370,0.4942,-0.0571,0.0370,-1.5434,-0.0868,0.0369,-2.3509
AAPL,china_exposure,1255,0.0051,0.0317,0.1610,-0.0154,0.0317,-0.4851,-0.0666,0.0317,-2.1054
AAPL,copper,1255,-0.0545,0.0403,-1.3515,-0.0513,0.0403,-1.2720,0.0245,0.0404,0.6061
AAPL,credit_hy_spread,1255,-0.3228,0.1134,-2.8467,-0.0607,0.1138,-0.5336,-0.3174,0.1135,-2.7967
AAPL,defense,1255,-0.0364,0.0626,-0.5810,0.1219,0.0625,1.9499,0.0667,0.0627,1.0645
AAPL,energy_oil,1255,-0.0405,0.0206,-1.9623,-0.0172,0.0207,-0.8335,0.0204,0.0207,0.9865
AAPL,gold,1255,0.0111,0.0583,0.1905,0.0256,0.0583,0.4399,0.0805,0.0583,1.3806
AAPL,growth,1255,-0.1790,0.3343,-0.5355,0.5114,0.3342,1.5305,-0.5592,0.3341,-1.6737
AAPL,inflation,1255,-0.2510,0.1722,-1.4573,-0.0742,0.1725,-0.4305,-0.1555,0.1724,-0.9018
AAPL,lithium,1255,0.0019,0.0338,0.0566,0.0090,0.0338,0.2648,0.0617,0.0338,1.8273
AAPL,market_beta,1255,1.1898,0.0259,46.0109,-0.2076,0.0420,-4.9396,-0.2302,0.0419,-5.4921
AAPL,momentum,1255,0.1422,0.0814,1.7466,0.0185,0.0815,0.2273,-0.0298,0.0816,-0.3658
AAPL,natural_gas,1255,-0.0099,0.0146,-0.6799,-0.0059,0.0147,-0.4021,0.0098,0.0146,0.6732
AAPL,quality,1255,-0.6744,0.2506,-2.6909,0.0314,0.2514,0.1250,0.7410,0.2505,2.9575
AAPL,rates,1255,0.1208,0.1128,1.0714,0.1736,0.1128,1.5390,0.3496,0.1125,3.1079
AAPL,rates_30y,1255,0.0514,0.0504,1.0211,0.0715,0.0504,1.4183,0.1465,0.0503,2.9137
AAPL,semiconductors,1255,0.0818,0.0444,1.8411,0.0797,0.0444,1.7946,-0.0988,0.0444,-2.2248
AAPL,uranium,1255,-0.0390,0.0265,-1.4720,0.0069,0.0265,0.2593,0.0018,0.0265,0.0673
AAPL,usd_strength,1255,0.0289,0.1219,0.2373,-0.2069,0.1218,-1.6987,-0.7120,0.1203,-5.9190
AAPL,value,1255,-1.2596,0.1103,-11.4222,-0.3317,0.1155,-2.8709,-0.0860,0.1159,-0.7421
