symbol,factor,regime,level,beta,se,n_obs,beta_full,se_full
AAPL,biotech,VIX,high,0.1810,0.1382,312,-0.0120,0.0538
AAPL,biotech,VIX,low,-0.1766,0.0994,254,-0.0120,0.0538
AAPL,biotech,Rates,high,0.0626,0.2546,63,-0.0120,0.0538
AAPL,biotech,Rates,low,-0.0976,0.3466,63,-0.0120,0.0538
AAPL,biotech,Bull-Bear,high,-0.0588,0.0562,839,-0.0120,0.0538
AAPL,biotech,Bull-Bear,low,0.1360,0.1281,241,-0.0120,0.0538
AAPL,china_a_shares,VIX,high,0.0924,0.1044,312,0.0183,0.0370
AAPL,china_a_shares,VIX,low,0.0980,0.0645,254,0.0183,0.0370
AAPL,china_a_shares,Rates,high,0.0227,0.1559,63,0.0183,0.0370
AAPL,china_a_shares,Rates,low,0.7780,0.2457,63,0.0183,0.0370
AAPL,china_a_shares,Bull-Bear,high,0.0460,0.0383,839,0.0183,0.0370
AAPL,china_a_shares,Bull-Bear,low,-0.2180,0.0952,241,0.0183,0.0370
AAPL,china_exposure,VIX,high,-0.0236,0.0843,312,0.0051,0.0317
AAPL,china_exposure,VIX,low,0.0956,0.0483,254,0.0051,0.0317
AAPL,china_exposure,Rates,high,-0.0097,0.1285,63,0.0051,0.0317
AAPL,china_exposure,Rates,low,0.1343,0.2145,63,0.0051,0.0317
AAPL,china_exposure,Bull-Bear,high,0.0157,0.0346,839,0.0051,0.0317
AAPL,china_exposure,Bull-Bear,low,0.0306,0.0660,241,0.0051,0.0317
AAPL,copper,VIX,high,-0.2653,0.1052,312,-0.0545,0.0403
AAPL,copper,VIX,low,0.0449,0.0692,254,-0.0545,0.0403
AAPL,copper,Rates,high,-0.2250,0.1552,63,-0.0545,0.0403
AAPL,copper,Rates,low,0.1918,0.2469,63,-0.0545,0.0403
AAPL,copper,Bull-Bear,high,0.0408,0.0437,839,-0.0545,0.0403
AAPL,copper,Bull-Bear,low,-0.1909,0.0918,241,-0.0545,0.0403
AAPL,credit_hy_spread,VIX,high,0.2291,0.2215,312,-0.3228,0.1134
AAPL,credit_hy_spread,VIX,low,-1.0522,0.2399,254,-0.3228,0.1134
AAPL,credit_hy_spread,Rates,high,0.9933,0.6524,63,-0.3228,0.1134
AAPL,credit_hy_spread,Rates,low,2.1148,0.5804,63,-0.3228,0.1134
AAPL,credit_hy_spread,Bull-Bear,high,-1.3908,0.1499,839,-0.3228,0.1134
AAPL,credit_hy_spread,Bull-Bear,low,-0.3028,0.2157,241,-0.3228,0.1134
AAPL,defense,VIX,high,-0.0012,0.1377,312,-0.0364,0.0626
AAPL,defense,VIX,low,0.1435,0.1078,254,-0.0364,0.0626
AAPL,defense,Rates,high,-0.1880,0.2323,63,-0.0364,0.0626
AAPL,defense,Rates,low,-0.0388,0.2974,63,-0.0364,0.0626
AAPL,defense,Bull-Bear,high,0.0656,0.0725,839,-0.0364,0.0626
AAPL,defense,Bull-Bear,low,-0.2339,0.1414,241,-0.0364,0.0626
AAPL,energy_oil,VIX,high,-0.0091,0.0394,312,-0.0405,0.0206
AAPL,energy_oil,VIX,low,-0.1460,0.0501,254,-0.0405,0.0206
AAPL,energy_oil,Rates,high,-0.0135,0.0882,63,-0.0405,0.0206
AAPL,energy_oil,Rates,low,0.1065,0.1108,63,-0.0405,0.0206
AAPL,energy_oil,Bull-Bear,high,-0.0805,0.0318,839,-0.0405,0.0206
AAPL,energy_oil,Bull-Bear,low,-0.0810,0.0337,241,-0.0405,0.0206
AAPL,gold,VIX,high,-0.1016,0.1434,312,0.0111,0.0583
AAPL,gold,VIX,low,-0.0231,0.0983,254,0.0111,0.0583
AAPL,gold,Rates,high,-0.5811,0.2366,63,0.0111,0.0583
AAPL,gold,Rates,low,-0.0975,0.2781,63,0.0111,0.0583
AAPL,gold,Bull-Bear,high,0.1859,0.0627,839,0.0111,0.0583
AAPL,gold,Bull-Bear,low,-0.1885,0.1407,241,0.0111,0.0583
AAPL,growth,VIX,high,0.2148,0.7284,312,-0.1790,0.3343
AAPL,growth,VIX,low,-2.7390,0.7004,254,-0.1790,0.3343
AAPL,growth,Rates,high,1.4488,1.1154,63,-0.1790,0.3343
AAPL,growth,Rates,low,3.6461,1.4915,63,-0.1790,0.3343
AAPL,growth,Bull-Bear,high,-0.3669,0.3854,839,-0.1790,0.3343
AAPL,growth,Bull-Bear,low,0.3379,0.7800,241,-0.1790,0.3343
AAPL,inflation,VIX,high,0.1145,0.3480,312,-0.2510,0.1722
AAPL,inflation,VIX,low,-1.1608,0.4017,254,-0.2510,0.1722
AAPL,inflation,Rates,high,-2.3637,0.6140,63,-0.2510,0.1722
AAPL,inflation,Rates,low,0.3155,0.6444,63,-0.2510,0.1722
AAPL,inflation,Bull-Bear,high,-0.8072,0.2446,839,-0.2510,0.1722
AAPL,inflation,Bull-Bear,low,-0.5713,0.3142,241,-0.2510,0.1722
AAPL,lithium,VIX,high,-0.0583,0.0896,312,0.0019,0.0338
AAPL,lithium,VIX,low,0.0874,0.0537,254,0.0019,0.0338
AAPL,lithium,Rates,high,-0.2384,0.1441,63,0.0019,0.0338
AAPL,lithium,Rates,low,-0.4148,0.2728,63,0.0019,0.0338
AAPL,lithium,Bull-Bear,high,0.0776,0.0344,839,0.0019,0.0338
AAPL,lithium,Bull-Bear,low,-0.2264,0.0965,241,0.0019,0.0338
AAPL,market_beta,VIX,high,1.1576,0.0387,312,1.1898,0.0259
AAPL,market_beta,VIX,low,1.1798,0.1235,254,1.1898,0.0259
AAPL,market_beta,Rates,high,0.9042,0.0832,63,1.1898,0.0259
AAPL,market_beta,Rates,low,1.1913,0.0664,63,1.1898,0.0259
AAPL,market_beta,Bull-Bear,high,1.2686,0.0487,839,1.1898,0.0259
AAPL,market_beta,Bull-Bear,low,1.2014,0.0446,241,1.1898,0.0259
AAPL,momentum,VIX,high,0.4243,0.2017,312,0.1422,0.0814
AAPL,momentum,VIX,low,0.0560,0.1613,254,0.1422,0.0814
AAPL,momentum,Rates,high,0.0001,0.3988,63,0.1422,0.0814
