symbol,n_snapshots,r2_direct,r2_+statistical,r2_total,marginal_statistical,marginal_derived,derived_share
GDV,74,0.6852,0.6974,0.7192,0.0122,0.0218,0.0304
TY,74,0.6807,0.6847,0.7047,0.0040,0.0200,0.0284
CII,74,0.6675,0.6715,0.6918,0.0040,0.0203,0.0293
CSQ,74,0.6606,0.6680,0.6927,0.0073,0.0247,0.0357
ECAT,16,0.6449,0.6513,0.6708,0.0064,0.0195,0.0290
MSFT,74,0.6369,0.6994,0.7170,0.0625,0.0176,0.0245
NIE,74,0.6265,0.6424,0.6692,0.0159,0.0268,0.0400
GAM,74,0.6245,0.6298,0.6522,0.0053,0.0223,0.0343
RVT,74,0.6144,0.6376,0.6909,0.0232,0.0533,0.0772
APH,74,0.5991,0.6129,0.6621,0.0138,0.0491,0.0742
BLK,74,0.5895,0.6031,0.6536,0.0136,0.0506,0.0774
AMP,74,0.5867,0.6206,0.6851,0.0339,0.0645,0.0941
BTX,22,0.5805,0.6335,0.6969,0.0530,0.0634,0.0910
RMT,74,0.5775,0.6068,0.6787,0.0293,0.0719,0.1059
BDJ,74,0.5751,0.5911,0.6173,0.0160,0.0262,0.0424
ASA,74,0.5708,0.5738,0.6034,0.0030,0.0296,0.0491
BST,74,0.5697,0.6308,0.6676,0.0611,0.0368,0.0551
TROW,74,0.5674,0.5858,0.6224,0.0185,0.0365,0.0587
AAPL,74,0.5664,0.6132,0.6368,0.0469,0.0236,0.0370
MA,74,0.5627,0.5912,0.6285,0.0285,0.0373,0.0594
AME,74,0.5591,0.5830,0.6483,0.0239,0.0654,0.1008
GOOGL,74,0.5588,0.6029,0.6343,0.0441,0.0314,0.0494
GOOG,74,0.5584,0.6021,0.6345,0.0437,0.0324,0.0510
V,74,0.5556,0.5812,0.6124,0.0256,0.0312,0.0510
BSTZ,43,0.5527,0.6442,0.6933,0.0915,0.0491,0.0709
MS,74,0.5517,0.5929,0.6970,0.0412,0.1041,0.1494
MCO,74,0.5484,0.5626,0.5949,0.0142,0.0323,0.0542
EQH,56,0.5461,0.5995,0.6673,0.0535,0.0678,0.1015
FCX,74,0.5452,0.5610,0.6375,0.0158,0.0765,0.1200
PRU,74,0.5421,0.6150,0.6950,0.0729,0.0800,0.1151
INTU,74,0.5399,0.5924,0.6169,0.0525,0.0245,0.0397
RJF,74,0.5327,0.5760,0.6520,0.0434,0.0759,0.1164
HON,74,0.5313,0.5702,0.6368,0.0390,0.0665,0.1045
BAC,74,0.5310,0.5979,0.7371,0.0669,0.1391,0.1888
TXN,74,0.5292,0.5527,0.7293,0.0235,0.1766,0.2421
ETW,74,0.5271,0.5336,0.5617,0.0065,0.0280,0.0499
FUND,74,0.5268,0.5448,0.5967,0.0180,0.0519,0.0870
PH,74,0.5256,0.5604,0.6503,0.0349,0.0898,0.1382
ETV,74,0.5255,0.5342,0.5642,0.0087,0.0300,0.0532
CET,74,0.5247,0.5323,0.5742,0.0076,0.0419,0.0729
JPM,74,0.5245,0.5914,0.7286,0.0670,0.1372,0.1882
PAYX,74,0.5244,0.5402,0.5769,0.0158,0.0367,0.0636
ITT,74,0.5236,0.5659,0.6331,0.0422,0.0672,0.1061
SPGI,74,0.5230,0.5365,0.5817,0.0135,0.0451,0.0776
SF,74,0.5225,0.5719,0.6545,0.0495,0.0825,0.1261
SNPS,74,0.5214,0.5880,0.6285,0.0666,0.0405,0.0644
EMR,74,0.5203,0.5639,0.6292,0.0436,0.0652,0.1037
ETO,74,0.5179,0.5236,0.5580,0.0057,0.0344,0.0617
AXP,74,0.5173,0.5602,0.6311,0.0429,0.0709,0.1124
GS,74,0.5148,0.5539,0.6567,0.0391,0.1028,0.1566
SCCO,74,0.5130,0.5260,0.5981,0.0129,0.0722,0.1207
BGR,74,0.5127,0.5603,0.6343,0.0476,0.0740,0.1167
ADI,74,0.5086,0.5296,0.7196,0.0210,0.1901,0.2641
C,74,0.5077,0.5622,0.6874,0.0544,0.1253,0.1822
CTAS,74,0.5043,0.5181,0.5546,0.0138,0.0365,0.0659
MET,74,0.5034,0.5723,0.6497,0.0689,0.0774,0.1192
TBLD,18,0.5018,0.5058,0.5373,0.0040,0.0315,0.0586
GGG,74,0.5012,0.5212,0.5674,0.0199,0.0462,0.0815
KKR,74,0.5005,0.5115,0.5545,0.0110,0.0430,0.0775
LNC,74,0.4998,0.5577,0.6443,0.0579,0.0866,0.1344
TRMB,74,0.4990,0.5185,0.5699,0.0195,0.0514,0.0903
SEIC,74,0.4967,0.5177,0.5716,0.0210,0.0539,0.0944
MCHP,74,0.4964,0.5275,0.7356,0.0311,0.2080,0.2828
ADBE,74,0.4954,0.5878,0.6190,0.0924,0.0312,0.0504
ADP,74,0.4951,0.5096,0.5443,0.0145,0.0346,0.0636
MPWR,74,0.4936,0.5536,0.7089,0.0600,0.1554,0.2191
ITW,74,0.4931,0.5423,0.6188,0.0492,0.0765,0.1236
XOM,74,0.4930,0.5538,0.6080,0.0607,0.0543,0.0893
NTRS,74,0.4929,0.5480,0.6268,0.0550,0.0789,0.1258
ARW,74,0.4925,0.5143,0.5896,0.0218,0.0753,0.1278
BCX,74,0.4907,0.5120,0.5737,0.0214,0.0616,0.1074
DOV,74,0.4905,0.5286,0.5965,0.0381,0.0679,0.1138
COP,74,0.4893,0.5387,0.6041,0.0494,0.0654,0.1083
GL,74,0.4893,0.5599,0.6165,0.0706,0.0566,0.0919
PNC,74,0.4873,0.5547,0.6747,0.0673,0.1201,0.1779
MSCI,74,0.4858,0.5199,0.5580,0.0341,0.0381,0.0683
