symbol,factor,regime,beta_high,beta_low,diff,t_diff,n_high,n_low
A,market_beta,VIX,1.0860,1.2072,-0.1213,-2.0403,866,1983
A,market_beta,Rates,1.1107,1.0303,0.0804,1.0605,264,264
A,market_beta,Bull-Bear,1.1464,1.0809,0.0656,1.7448,3147,1116
A,copper,VIX,-0.0535,0.0271,-0.0806,-1.0468,401,1429
A,copper,Rates,0.0185,-0.0810,0.0996,0.7472,172,156
A,copper,Bull-Bear,0.0459,-0.1121,0.1580,2.5427,2330,587
A,credit_hy_spread,VIX,0.2908,-0.3812,0.6721,4.6638,866,1482
A,credit_hy_spread,Rates,0.1371,1.2461,-1.1090,-3.5380,254,250
A,credit_hy_spread,Bull-Bear,-0.0129,0.1637,-0.1766,-1.5933,2877,1033
A,energy_oil,VIX,0.0539,-0.0575,0.1114,2.9551,826,1408
A,energy_oil,Rates,0.0576,-0.0308,0.0884,0.9548,247,247
A,energy_oil,Bull-Bear,-0.0184,0.0108,-0.0292,-0.9182,2757,1010
A,gold,VIX,-0.0303,-0.0036,-0.0267,-0.3522,866,1983
A,gold,Rates,-0.0714,-0.0702,-0.0012,-0.0071,264,264
A,gold,Bull-Bear,0.1118,-0.0995,0.2113,3.3728,3147,1116
A,inflation,VIX,0.2001,-0.2033,0.4034,1.4108,866,1983
A,inflation,Rates,-0.4278,0.3420,-0.7698,-1.4075,264,264
A,inflation,Bull-Bear,0.3740,-0.1113,0.4854,2.1045,3147,1116
A,natural_gas,VIX,0.0213,-0.0028,0.0241,0.7275,866,1477
A,natural_gas,Rates,0.0108,0.0965,-0.0857,-1.1927,254,250
A,natural_gas,Bull-Bear,0.0014,-0.0290,0.0304,1.1462,2874,1033
A,rates,VIX,-0.1555,0.1655,-0.3209,-1.5436,866,1983
A,rates,Rates,0.9345,0.3759,0.5586,0.7145,264,264
A,rates,Bull-Bear,-0.0498,0.0343,-0.0841,-0.4837,3147,1116
A,rates_30y,VIX,-0.1410,0.0954,-0.2364,-2.4705,866,1983
A,rates_30y,Rates,0.3277,-0.0978,0.4255,1.3988,264,264
A,rates_30y,Bull-Bear,-0.0332,-0.0119,-0.0213,-0.2630,3147,1116
A,usd_strength,VIX,-0.2440,0.0500,-0.2940,-1.7740,866,1501
A,usd_strength,Rates,-0.1519,-0.7372,0.5853,1.6919,254,250
A,usd_strength,Bull-Bear,-0.3196,0.1002,-0.4198,-2.9291,2880,1037
A,volatility,VIX,0.1078,-0.0758,0.1836,11.6435,866,1983
A,volatility,Rates,0.0887,0.0382,0.0505,1.4707,264,264
A,volatility,Bull-Bear,-0.0657,0.1382,-0.2038,-14.2649,3147,1116
A,momentum,VIX,0.2945,0.0111,0.2835,1.4514,377,1322
A,momentum,Rates,-0.4657,-0.2331,-0.2326,-0.6135,169,150
A,momentum,Bull-Bear,-0.0372,0.3125,-0.3497,-1.9761,2080,531
A,quality,VIX,0.0221,0.1607,-0.1385,-0.2748,377,1284
A,quality,Rates,-1.4082,-0.0321,-1.3761,-1.5122,162,147
A,quality,Bull-Bear,0.2871,0.2516,0.0355,0.0850,2023,531
A,value,VIX,0.5679,0.5667,0.0011,0.0043,397,1406
A,value,Rates,1.2723,0.3180,0.9543,1.7911,171,155
A,value,Bull-Bear,0.2522,0.2754,-0.0232,-0.0968,2303,585
A,biotech,VIX,0.1355,0.2628,-0.1273,-1.1436,377,1284
A,biotech,Rates,0.3458,0.1277,0.2181,0.9577,162,147
A,biotech,Bull-Bear,0.2847,0.3364,-0.0517,-0.6207,2023,531
A,defense,VIX,-0.1095,-0.0378,-0.0716,-0.5731,377,1284
A,defense,Rates,-0.2851,-0.3116,0.0265,0.0913,162,147
A,defense,Bull-Bear,-0.1033,-0.2177,0.1144,1.0538,2023,531
A,growth,VIX,0.1304,0.1789,-0.0485,-0.0873,377,1284
A,growth,Rates,1.4869,0.8879,0.5990,0.5622,162,147
A,growth,Bull-Bear,0.3145,0.7281,-0.4137,-0.8853,2023,531
A,lithium,VIX,0.0208,0.1101,-0.0893,-1.0632,377,1284
A,lithium,Rates,-0.0340,-0.0023,-0.0317,-0.1798,162,147
A,lithium,Bull-Bear,0.1088,0.0164,0.0923,1.1020,2023,531
A,semiconductors,VIX,-0.1682,0.0880,-0.2561,-2.3269,377,1284
A,semiconductors,Rates,0.1050,0.1766,-0.0716,-0.3353,162,147
A,semiconductors,Bull-Bear,0.1334,0.0953,0.0381,0.4328,2023,531
A,uranium,VIX,-0.1668,-0.0142,-0.1526,-2.0565,377,1284
A,uranium,Rates,-0.0008,-0.1392,0.1384,1.0977,162,147
A,uranium,Bull-Bear,-0.0424,-0.0254,-0.0170,-0.2713,2023,531
A,xl_consumer_defensive,VIX,0.3013,-0.1579,0.4592,2.7516,377,1284
A,xl_consumer_defensive,Rates,0.4185,-0.3059,0.7244,2.0860,162,147
A,xl_consumer_defensive,Bull-Bear,-0.1793,0.0060,-0.1853,-1.3144,2023,531
A,xl_financials,VIX,-0.1187,-0.2921,0.1734,0.7747,377,1284
A,xl_financials,Rates,-0.3766,-0.0428,-0.3338,-0.7069,162,147
A,xl_financials,Bull-Bear,-0.4563,-0.3421,-0.1143,-0.5975,2023,531
A,xl_healthcare,VIX,0.6223,0.5419,0.0804,0.4308,377,1284
A,xl_healthcare,Rates,0.2826,0.2773,0.0052,0.0137,162,147
A,xl_healthcare,Bull-Bear,0.5686,0.5748,-0.0062,-0.0417,2023,531
A,xl_industrials,VIX,-0.4002,0.3143,-0.7145,-2.9387,377,1284
A,xl_industrials,Rates,-0.6756,-1.0204,0.3449,0.6062,162,147
A,xl_industrials,Bull-Bear,0.1389,-0.3064,0.4453,2.1862,2023,531
A,xl_real_estate,VIX,0.1872,0.0174,0.1698,1.2142,361,929
A,xl_real_estate,Rates,0.0578,0.5802,-0.5224,-2.0112,139,128
A,xl_real_estate,Bull-Bear,-0.0045,0.0544,-0.0588,-0.4993,1713,483
A,xl_utilities,VIX,0.2732,-0.1668,0.4400,3.6979,377,1284
A,xl_utilities,Rates,0.2061,0.2816,-0.0754,-0.3255,162,147
A,xl_utilities,Bull-Bear,-0.1487,0.0355,-0.1841,-1.8048,2023,531
A,china_a_shares,VIX,-0.0727,0.0409,-0.1136,-1.0898,361,929
A,china_a_shares,Rates,0.1087,0.1835,-0.0748,-0.3303,139,128
A,china_a_shares,Bull-Bear,-0.0107,0.0754,-0.0860,-1.0841,1713,483
A,china_exposure,VIX,-0.0597,0.0535,-0.1132,-1.2555,361,929
A,china_exposure,Rates,0.0201,0.1157,-0.0955,-0.5074,139,128
A,china_exposure,Bull-Bear,0.0022,0.0631,-0.0610,-0.8053,1713,483
AA,market_beta,VIX,1.6003,1.4610,0.1393,1.4373,866,1983
AA,market_beta,Rates,1.7609,1.5169,0.2440,1.8873,264,264
AA,market_beta,Bull-Bear,1.6590,1.5536,0.1054,1.5086,3147,1116
AA,copper,VIX,0.5857,0.1868,0.3989,2.7480,401,1429
AA,copper,Rates,0.1786,0.5643,-0.3858,-1.6859,172,156
AA,copper,Bull-Bear,0.3200,0.5916,-0.2716,-2.4114,2330,587
AA,credit_hy_spread,VIX,0.5757,0.0222,0.5535,2.2726,866,1482
AA,credit_hy_spread,Rates,0.3249,1.7360,-1.4111,-2.8243,254,250
AA,credit_hy_spread,Bull-Bear,0.3047,0.4331,-0.1285,-0.6883,2877,1033
AA,energy_oil,VIX,0.3138,0.1287,0.1850,2.9718,826,1408
AA,energy_oil,Rates,0.3141,0.2799,0.0342,0.2346,247,247
AA,energy_oil,Bull-Bear,0.2253,0.2809,-0.0557,-1.0498,2757,1010
AA,gold,VIX,0.2916,0.3649,-0.0732,-0.6070,866,1983
AA,gold,Rates,0.1668,-0.0145,0.1814,0.6812,264,264
AA,gold,Bull-Bear,0.4323,0.1970,0.2353,2.2960,3147,1116
AA,inflation,VIX,0.6770,0.6922,-0.0152,-0.0339,866,1983
AA,inflation,Rates,-0.2627,1.2771,-1.5398,-1.7863,264,264
AA,inflation,Bull-Bear,1.3899,0.5293,0.8606,2.2674,3147,1116
AA,natural_gas,VIX,0.1754,0.0366,0.1388,2.5655,866,1477
AA,natural_gas,Rates,0.1647,0.2872,-0.1225,-1.0975,254,250
AA,natural_gas,Bull-Bear,0.0377,0.1136,-0.0759,-1.7235,2874,1033
AA,rates,VIX,-0.2443,0.1509,-0.3951,-1.1894,866,1983
AA,rates,Rates,3.3952,0.7230,2.6722,2.1575,264,264
AA,rates,Bull-Bear,-0.4004,-0.1252,-0.2751,-0.9656,3147,1116
AA,rates_30y,VIX,-0.1953,0.0091,-0.2044,-1.3373,866,1983
AA,rates_30y,Rates,0.9468,-0.2393,1.1860,2.4986,264,264
AA,rates_30y,Bull-Bear,-0.2441,-0.0722,-0.1719,-1.2972,3147,1116
AA,usd_strength,VIX,-0.7488,-0.4121,-0.3367,-1.2396,866,1501
AA,usd_strength,Rates,-0.3932,-0.7312,0.3380,0.6087,254,250
AA,usd_strength,Bull-Bear,-0.8289,-0.4726,-0.3562,-1.4942,2880,1037
AA,volatility,VIX,0.2101,-0.0752,0.2853,11.4746,866,1983
AA,volatility,Rates,0.1209,0.1025,0.0183,0.3342,264,264
AA,volatility,Bull-Bear,-0.0865,0.2429,-0.3294,-14.1498,3147,1116
AA,momentum,VIX,-0.9706,-0.7025,-0.2681,-0.7040,377,1322
AA,momentum,Rates,-0.6816,-0.7895,0.1080,0.1517,169,150
AA,momentum,Bull-Bear,-0.6547,-0.2184,-0.4364,-1.2794,2080,531
AA,quality,VIX,-0.4092,-0.7854,0.3762,0.3768,377,1284
AA,quality,Rates,-2.8230,-2.0614,-0.7616,-0.4511,162,147
AA,quality,Bull-Bear,-0.6796,-0.7136,0.0340,0.0422,2023,531
AA,value,VIX,2.9042,1.6073,1.2968,2.6602,397,1406
AA,value,Rates,2.8635,0.2626,2.6010,2.6377,171,155
AA,value,Bull-Bear,1.7670,1.5680,0.1990,0.4524,2303,585
AA,biotech,VIX,-0.6023,0.2500,-0.8523,-3.8748,377,1284
AA,biotech,Rates,0.2838,-0.2710,0.5548,1.3150,162,147
AA,biotech,Bull-Bear,-0.0318,-0.0333,0.0015,0.0089,2023,531
AA,defense,VIX,0.6901,0.0024,0.6877,2.8226,377,1284
AA,defense,Rates,1.0539,-0.3932,1.4471,2.7024,162,147
AA,defense,Bull-Bear,0.2995,0.1726,0.1269,0.6027,2023,531
AA,growth,VIX,1.2971,1.9357,-0.6386,-0.5850,377,1284
AA,growth,Rates,4.1442,0.5481,3.5961,1.8009,162,147
AA,growth,Bull-Bear,0.7518,2.2272,-1.4755,-1.6376,2023,531
AA,lithium,VIX,0.3067,0.4137,-0.1070,-0.6482,377,1284
AA,lithium,Rates,0.3313,0.1898,0.1415,0.4356,162,147
