symbol,factor,n_obs,contemp_beta,contemp_t,lead_beta,lead_t,lag_beta,lag_t
A,market_beta,5278,1.1185,71.2468,-0.0551,-2.5094,-0.1110,-5.0602
A,copper,3547,0.0164,1.0957,-0.0191,-1.2722,0.0314,2.0950
A,credit_hy_spread,4708,0.0966,2.0684,-0.0192,-0.4113,0.1491,3.1933
A,energy_oil,4537,-0.0034,-0.2584,-0.0062,-0.4764,0.0632,4.8881
A,gold,5278,0.0078,0.3259,-0.0209,-0.8782,0.0570,2.3957
A,inflation,5278,0.1182,1.2294,-0.1048,-1.0900,0.5503,5.7412
A,natural_gas,4703,-0.0081,-0.8735,-0.0022,-0.2377,0.0057,0.6129
A,rates,5278,-0.0501,-0.7791,0.0460,0.7153,0.2657,4.1377
A,rates_30y,5278,-0.0271,-0.9007,0.0060,0.2009,0.0814,2.7098
A,usd_strength,4736,-0.1627,-2.9924,-0.1163,-2.1386,-0.2150,-3.9564
A,volatility,5278,-0.0122,-2.3537,-0.0008,-0.1619,0.0062,1.1921
A,momentum,3169,0.0322,0.5756,0.0354,0.6326,-0.0022,-0.0396
A,quality,3109,0.3901,2.7816,0.3071,2.1885,0.2993,2.1318
A,value,3507,0.3149,3.8308,-0.1198,-1.4548,0.1023,1.2412
A,biotech,3109,0.2974,11.0055,-0.0112,-0.4075,-0.0188,-0.6809
A,defense,3109,-0.1555,-3.9454,0.1117,2.8302,0.0530,1.3417
A,growth,3109,0.4336,2.5582,-0.0745,-0.4393,0.0679,0.4003
A,lithium,3109,0.0713,3.1335,0.0312,1.3684,0.0652,2.8647
A,semiconductors,3109,0.0850,2.9307,0.0072,0.2466,-0.0597,-2.0571
A,uranium,3109,-0.0296,-1.7826,0.0290,1.7423,-0.0040,-0.2399
A,xl_consumer_defensive,3109,-0.0806,-1.5663,-0.1351,-2.6281,-0.0628,-1.2207
A,xl_financials,3109,-0.3402,-5.1256,-0.0114,-0.1709,0.1053,1.5797
A,xl_healthcare,3109,0.6267,12.6098,-0.1275,-2.5055,-0.0024,-0.0475
A,xl_industrials,3109,-0.0085,-0.1209,0.1913,2.7083,0.0465,0.6570
A,xl_real_estate,2564,0.0173,0.4054,-0.0217,-0.5081,-0.0049,-0.1147
A,xl_utilities,3109,-0.0869,-2.4316,-0.0533,-1.4896,-0.0603,-1.6881
A,china_a_shares,2564,0.0088,0.3535,-0.0168,-0.6721,-0.0829,-3.3258
A,china_exposure,2564,0.0061,0.2274,0.0015,0.0560,-0.0422,-1.5827
AA,market_beta,5278,1.5849,56.2814,-0.0418,-1.1742,-0.0763,-2.1420
AA,copper,3547,0.3008,11.1507,0.0008,0.0275,0.0501,1.8255
AA,credit_hy_spread,4708,0.4001,5.1399,-0.1623,-2.0798,0.4165,5.3516
AA,energy_oil,4537,0.2472,11.5223,-0.0204,-0.9393,0.1335,6.1574
AA,gold,5278,0.3132,8.1777,0.0400,1.0386,0.0308,0.7997
AA,inflation,5278,0.9846,6.3453,-0.1584,-1.0173,1.3158,8.5046
AA,natural_gas,4703,0.0648,4.1714,0.0168,1.0805,0.0115,0.7378
AA,rates,5278,-0.3233,-3.1070,0.2090,2.0071,0.0695,0.6673
AA,rates_30y,5278,-0.1781,-3.6622,0.0607,1.2463,-0.0232,-0.4772
AA,usd_strength,4736,-0.6940,-7.6892,-0.3316,-3.6560,-0.3371,-3.7169
AA,volatility,5278,0.0023,0.2747,-0.0156,-1.8556,0.0161,1.9184
AA,momentum,3169,-0.5592,-5.2122,-0.1244,-1.1548,-0.0409,-0.3790
AA,quality,3109,-0.4308,-1.5878,0.1355,0.4990,0.4420,1.6283
AA,value,3507,1.7351,11.6779,0.0138,0.0913,0.2058,1.3588
AA,biotech,3109,0.0177,0.3324,0.0257,0.4817,-0.0526,-0.9886
AA,defense,3109,0.2660,3.4894,0.2011,2.6350,0.2350,3.0801
AA,growth,3109,1.3808,4.2223,-0.0243,-0.0741,-0.2818,-0.8592
AA,lithium,3109,0.3502,8.0282,0.0449,1.0178,0.0438,0.9946
AA,semiconductors,3109,0.4713,8.4911,0.1265,2.2555,-0.1446,-2.5772
AA,uranium,3109,0.2283,7.1575,-0.0041,-0.1265,0.0471,1.4636
AA,xl_consumer_defensive,3109,-0.9832,-10.0401,-0.1625,-1.6333,-0.2295,-2.3073
AA,xl_financials,3109,0.1471,1.1416,0.0425,0.3294,0.1214,0.9414
AA,xl_healthcare,3109,-0.8557,-8.7949,-0.2698,-2.7422,0.1378,1.3994
AA,xl_industrials,3109,0.7451,5.4783,0.3432,2.5132,0.5126,3.7584
AA,xl_real_estate,2564,-0.4994,-5.9078,-0.0200,-0.2349,-0.0162,-0.1898
AA,xl_utilities,3109,-0.6161,-9.0289,-0.1596,-2.3098,-0.0527,-0.7625
AA,china_a_shares,2564,0.0007,0.0133,0.0407,0.8177,-0.2297,-4.6326
AA,china_exposure,2564,0.0685,1.2883,0.0610,1.1468,-0.2086,-3.9303
AAL,market_beta,5093,1.6019,39.5170,-0.0268,-0.5795,-0.0084,-0.1816
AAL,copper,3547,-0.0037,-0.1325,-0.0109,-0.3927,0.0349,1.2573
AAL,credit_hy_spread,4708,0.1237,1.2592,-0.0584,-0.5942,0.4854,4.9514
AAL,energy_oil,4537,-0.3058,-11.4464,-0.0350,-1.2937,0.0927,3.4240
AAL,gold,5093,-0.4115,-8.2494,-0.1115,-2.2214,0.0862,1.7164
AAL,inflation,5093,-0.8756,-4.3142,-0.0183,-0.0898,0.4319,2.1248
AAL,natural_gas,4703,-0.0692,-3.5342,0.0305,1.5576,0.0184,0.9398
AAL,rates,5093,-0.0366,-0.2686,0.0544,0.3987,0.2490,1.8262
AAL,rates_30y,5093,0.0253,0.3983,0.0742,1.1680,-0.0034,-0.0528
AAL,usd_strength,4736,0.2435,2.1293,0.0089,0.0780,-0.3968,-3.4722
AAL,volatility,5093,0.0093,0.8491,-0.0031,-0.2804,0.0384,3.5083
AAL,momentum,3169,-0.6258,-6.0496,-0.1355,-1.3023,0.1113,1.0692
AAL,quality,3109,-0.1409,-0.5385,0.5048,1.9302,0.3678,1.4053
AAL,value,3507,1.6248,10.7684,0.1057,0.6896,0.3018,1.9689
AAL,biotech,3109,-0.0570,-1.1107,-0.0373,-0.7264,-0.1294,-2.5241
AAL,defense,3109,0.6507,8.9503,0.3353,4.5680,0.2150,2.9236
AAL,growth,3109,0.8794,2.7852,0.1560,0.4933,-0.4432,-1.4022
AAL,lithium,3109,0.1942,4.5886,0.0199,0.4680,-0.0216,-0.5080
AAL,semiconductors,3109,0.3469,6.4538,0.0891,1.6475,-0.0692,-1.2787
AAL,uranium,3109,0.0733,2.3677,-0.0017,-0.0544,0.0169,0.5446
AAL,xl_consumer_defensive,3109,-0.8773,-9.2719,-0.2178,-2.2728,-0.1332,-1.3883
AAL,xl_financials,3109,0.6970,5.6399,0.1532,1.2332,0.1580,1.2713
AAL,xl_healthcare,3109,-0.8155,-8.6933,-0.3233,-3.4108,0.0059,0.0620
AAL,xl_industrials,3109,1.4192,10.9794,0.4284,3.2564,0.2554,1.9393
AAL,xl_real_estate,2564,-0.3857,-4.8309,0.0436,0.5440,0.0249,0.3103
AAL,xl_utilities,3109,-0.6528,-9.9523,-0.1299,-1.9502,-0.0049,-0.0734
AAL,china_a_shares,2564,-0.0950,-2.0275,0.0039,0.0836,-0.1368,-2.9199
AAL,china_exposure,2564,-0.0789,-1.5739,-0.0409,-0.8161,-0.1248,-2.4901
AAOI,market_beta,3080,1.6641,19.5954,-0.0856,-0.9508,-0.0366,-0.4063
AAOI,copper,3080,0.0703,1.4100,-0.0275,-0.5512,0.0386,0.7748
AAOI,credit_hy_spread,3080,-0.8885,-3.9396,-0.0496,-0.2193,-0.0764,-0.3380
AAOI,energy_oil,3066,0.0283,0.6656,0.0273,0.6420,0.0173,0.4054
AAOI,gold,3080,0.1594,1.5183,0.0581,0.5528,0.1003,0.9544
AAOI,inflation,3080,0.1412,0.3603,0.5607,1.4312,0.0506,0.1291
AAOI,natural_gas,3080,0.0344,1.1223,0.0449,1.4649,-0.0134,-0.4375
AAOI,rates,3080,1.0147,4.2093,0.0936,0.3871,0.1356,0.5609
AAOI,rates_30y,3080,0.4412,4.0955,0.0085,0.0787,0.1074,0.9939
AAOI,usd_strength,3080,0.2359,1.1452,-0.6578,-3.1981,-0.5794,-2.8155
AAOI,volatility,3080,-0.0965,-5.3480,-0.0337,-1.8615,0.0095,0.5218
AAOI,momentum,3066,0.6971,3.7746,0.0365,0.1972,-0.0404,-0.2183
AAOI,quality,3066,-0.6129,-1.3129,-0.5044,-1.0801,0.0402,0.0861
AAOI,value,3066,-1.2082,-4.4506,0.1496,0.5493,0.6458,2.3731
AAOI,biotech,3066,0.3152,3.5026,0.1114,1.2356,-0.1533,-1.7005
AAOI,defense,3066,0.1945,1.5065,-0.0161,-0.1250,0.2138,1.6557
AAOI,growth,3066,3.9071,7.0779,0.5119,0.9197,0.6184,1.1111
AAOI,lithium,3066,0.3322,4.4541,0.0963,1.2879,0.0715,0.9553
AAOI,semiconductors,3066,0.9439,10.1070,0.0451,0.4746,-0.1406,-1.4812
AAOI,uranium,3066,0.3129,5.7598,0.0574,1.0477,-0.0002,-0.0044
AAOI,xl_consumer_defensive,3066,-1.6653,-10.0557,0.0291,0.1727,-0.0484,-0.2874
AAOI,xl_financials,3066,0.0197,0.0906,-0.1090,-0.5000,-0.1407,-0.6453
AAOI,xl_healthcare,3066,-1.0202,-6.1718,0.0530,0.3188,-0.0341,-0.2052
AAOI,xl_industrials,3066,0.3172,1.3706,-0.2211,-0.9551,0.2183,0.9428
AAOI,xl_real_estate,2564,-0.4451,-3.1533,0.0446,0.3154,0.0681,0.4818
AAOI,xl_utilities,3066,-0.6792,-5.8420,-0.1719,-1.4706,-0.1033,-0.8833
AAOI,china_a_shares,2564,-0.1421,-1.7197,-0.0246,-0.2970,-0.1428,-1.7277
AAOI,china_exposure,2564,-0.1499,-1.6961,-0.0223,-0.2522,-0.1596,-1.8056
AAON,market_beta,5278,1.1504,47.0444,-0.2191,-7.5605,-0.1050,-3.6100
AAON,copper,3547,0.0033,0.1627,-0.0033,-0.1618,0.0583,2.8452
